year,state,humidity,soil_surface,max_temp,min_temp,soil_moisture,root_zone,max_speed,min_speed,radiation,rainfall
2016,Yobe,45.38,0.31,43.5,10.17,0.41,0.41,7.7,0.07,35.24,532.62
2017,Yobe,42.56,0.27,43.56,13.73,0.39,0.39,7.76,0.03,35.25,564.26
2018,Yobe,44.5,0.3,43.2,10.21,0.4,0.39,7.48,0.09,35.25,490.43
2019,Yobe,47,0.34,44.19,11.33,0.42,0.42,8.44,0.09,35.25,627.54
2020,Yobe,48.38,0.34,42.7,10.63,0.42,0.41,7.99,0.12,35.24,754.1
2015,Zamfara,45.06,0.34,41.91,6.97,0.41,0.39,9.6,0.01,35.15,648.63
2016,Zamfara,49.31,0.38,41.86,10.4,0.43,0.41,8.66,0.02,35.12,759.38
2017,Zamfara,47.31,0.38,42.01,12.89,0.43,0.41,9.02,0.09,35.13,722.46
2018,Zamfara,49.5,0.38,40.84,9.97,0.43,0.41,8.58,0.03,35.13,743.55
2019,Zamfara,49.44,0.38,41.55,10.62,0.42,0.4,8.27,0.01,35.13,669.73
2020,Zamfara,55.81,0.43,40.14,8.86,0.47,0.45,9.53,0.02,35.12,1033.59
2015,Bayelsa,86.62,0.81,32.99,13.52,0.87,0.81,4.91,0.03,35.82,1819.34
2016,Bayelsa,87.81,0.84,33.69,16.37,0.9,0.85,4.52,0.02,35.8,2172.66
2017,Bayelsa,88.75,0.88,32.63,18.3,0.94,0.9,3.96,0.05,35.8,2979.49
2018,Bayelsa,88.06,0.88,34.13,14.25,0.94,0.9,3.91,0.02,35.8,3179.88
2019,Bayelsa,87.88,0.88,32.54,18.55,0.93,0.88,3.7,0.04,35.8,3243.16
2020,Bayelsa,87.44,0.88,33.54,15.93,0.93,0.9,4.38,0.05,35.8,3459.38
