year,state,crop,land_area,yield
2015,Niger,groundnut,141.5,1.731
2015,Ogun,groundnut,14.05,1.387
2015,Ondo,groundnut,29.47,2.143
2015,Osun,groundnut,16.53,1.458
2015,Oyo,groundnut,33.35,0.42
2015,Plateau,groundnut,135.6,0.995
2015,Rivers,groundnut,,
2015,Sokoto,groundnut,107.7,0.69
2015,Taraba,groundnut,180,1.471
2015,Yobe,groundnut,44.24,1.643
2015,Zamfara,groundnut,168.43,0.888
2015,Abia,millet,,
2015,Adamawa,millet,160.36,0.46
2015,Akwa-Ibom,millet,,
2015,Anambra,millet,,
2015,Bauchi,millet,112.43,0.75
2015,Bayelsa,millet,,
2015,Benue,millet,82,0.79
2015,Borno,millet,29.43,0.79
2015,Cross River,millet,,
2015,Delta,millet,,
2015,Ebonyi,millet,,
2015,Edo,millet,,
2015,Ekiti,millet,,
2015,Enugu,millet,,
2015,Fct,millet,46.76,0.83
2015,Gombe,millet,129.31,0.79
2015,Imo,millet,,
2015,Jigawa,millet,105.44,0.78
2015,Kaduna,millet,89.34,1.11
2015,Kano,millet,94.74,0.91
2015,Katsina,millet,99.44,0.85
2015,Kebbi,millet,97.85,0.84
2015,Kogi,millet,44.62,0.66
2015,Kwara,millet,39.04,0.81
2015,Lagos,millet,,
2015,Nasarawa,millet,22.92,1.2
2015,Niger,millet,96.94,1.03
2015,Ogun,millet,,
2015,Ondo,millet,,
2015,Osun,millet,,
2015,Oyo,millet,,
2015,Plateau,millet,76.41,0.96
2015,Rivers,millet,,
2015,Sokoto,millet,101.66,0.74
2015,Taraba,millet,89.64,0.94
2015,Yobe,millet,196.74,0.75
2015,Zamfara,millet,93.04,0.94
2015,Abia,cassava,196.86,9.52
2015,Adamawa,cassava,195.96,2.54
2015,Akwa-Ibom,cassava,226.55,6.81
2015,Anambra,cassava,192.03,9.33
2015,Bauchi,cassava,93,5.36
2015,Bayelsa,cassava,246.49,6.07
2015,Benue,cassava,205.36,18.97
2015,Borno,cassava,,
2015,Cross River,cassava,298.96,17.04
2015,Delta,cassava,214.93,7.03
2015,Ebonyi,cassava,195.86,6.47
2015,Edo,cassava,277.94,6.11
2015,Ekiti,cassava,198.8,8.47
2015,Enugu,cassava,214.95,16.02
2015,Fct,cassava,296.14,5.01
2015,Gombe,cassava,89.29,5.59
2015,Imo,cassava,290.33,12.4
2015,Jigawa,cassava,75.37,5.29
2015,Kaduna,cassava,295.66,5.89
2015,Kano,cassava,72.85,4.66
2015,Katsina,cassava,73.19,6.08
2015,Kebbi,cassava,62,10.12
2015,Kogi,cassava,302.34,4.95
2015,Kwara,cassava,303.88,4.72
2015,Lagos,cassava,201.74,9.82
2015,Nasarawa,cassava,201.86,9.32
2015,Niger,cassava,275.74,7.2
2015,Ogun,cassava,220.55,14.92
2015,Ondo,cassava,187.36,16.54
2015,Osun,cassava,133.17,12.83
2015,Oyo,cassava,126.16,13.32
2015,Plateau,cassava,201.86,8.63
2015,Rivers,cassava,1489.45,0.84
2015,Sokoto,cassava,67.55,4.96
2015,Taraba,cassava,201.28,2.03
2015,Yobe,cassava,85.4,5.3
2015,Zamfara,cassava,79.27,6.17
2015,Abia,soybean,,
2015,Adamawa,soybean,39.11,1.18
2015,Akwa-Ibom,soybean,,
2015,Anambra,soybean,,
2015,Bauchi,soybean,37.87,1.01
2015,Bayelsa,soybean,,
2015,Benue,soybean,89,1.99
2015,Borno,soybean,,
2015,Cross River,soybean,,
2015,Delta,soybean,,
2015,Ebonyi,soybean,,
2015,Edo,soybean,,
2015,Ekiti,soybean,29.11,0.34
2015,Enugu,soybean,,
2015,Fct,soybean,46.57,1
2015,Gombe,soybean,34.42,1.08
2015,Imo,soybean,,
2015,Jigawa,soybean,30.85,1.34
2015,Kaduna,soybean,40.72,1.95
2015,Kano,soybean,39.68,1.47
2015,Katsina,soybean,38.61,0.89
2015,Kebbi,soybean,40.52,0.53
2015,Kogi,soybean,42.55,1.1
2015,Kwara,soybean,45.82,1.29
2015,Lagos,soybean,,
2015,Nasarawa,soybean,32.58,1.16
2015,Niger,soybean,39.66,1.23
2015,Ogun,soybean,19.41,1.3
2015,Ondo,soybean,23.5,1.4
2015,Osun,soybean,30.23,0.96
2015,Oyo,soybean,26.93,0.02
2015,Plateau,soybean,42.96,1.23
2015,Rivers,soybean,,
2015,Sokoto,soybean,42.23,0.67
2015,Taraba,soybean,49.86,1.19
2015,Yobe,soybean,,
2015,Zamfara,soybean,39.36,0.49
2015,Abia,okro,12.61,1.77
2015,Adamawa,okro,21.6,1.34
2015,Akwa-Ibom,okro,19.1,1.45
2015,Anambra,okro,17.69,1.57
2015,Bauchi,okro,12.6,3.88
2015,Bayelsa,okro,12,1.95
2015,Benue,okro,33.73,1.68
2015,Borno,okro,22.86,1.62
2015,Cross River,okro,10.91,2.62
2015,Delta,okro,16.61,1.34
2015,Ebonyi,okro,12.61,2.27
2015,Edo,okro,16.5,1.5
2015,Ekiti,okro,15.02,1.07
2015,Enugu,okro,14.14,1.66
2015,Fct,okro,29.3,1.36
2015,Gombe,okro,23.8,1.5
2015,Imo,okro,15,1.65
2015,Jigawa,okro,12.64,2.87
2015,Kaduna,okro,16.99,1.93
2015,Kano,okro,36.61,0.91
2015,Katsina,okro,10.22,2.21
2015,Kebbi,okro,32,1.31
2015,Kogi,okro,26.4,3.02
2015,Kwara,okro,12.25,2.61
2015,Lagos,okro,15.23,2.42
2015,Nasarawa,okro,23.3,1.15
2015,Niger,okro,20.22,1.59
2015,Ogun,okro,17.2,1.69
2015,Ondo,okro,25.03,0.98
2015,Osun,okro,26,1.34
2015,Oyo,okro,14.66,2.63
2015,Plateau,okro,20.74,2.46
2015,Rivers,okro,20,1.27
2015,Sokoto,okro,12.65,2
2015,Taraba,okro,16.55,2.82
2015,Yobe,okro,21.63,1.82
2015,Zamfara,okro,15.42,2.35
2015,Abia,onion,,
